text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
Match incident severity levels.,,,,,,drag_and_drop,"{""Low"": ""Minimal impact"", ""Medium"": ""Limited disruption"", ""High"": ""Widespread threat""}"
Match mobile device risks.,,,,,,drag_and_drop,"{""Jailbreaking"": ""Bypass controls"", ""Unsecured Wi-Fi"": ""Data interception"", ""Lost device"": ""Data breach risk""}"
Match data states.,,,,,,drag_and_drop,"{""At rest"": ""Stored data"", ""In transit"": ""Transmitted data"", ""In use"": ""Actively processed""}"
Match backup strategies.,,,,,,drag_and_drop,"{""Onsite"": ""Fast recovery"", ""Offsite"": ""Disaster recovery"", ""Cloud"": ""Accessible anywhere""}"
Match risk responses.,,,,,,drag_and_drop,"{""Avoidance"": ""Eliminate risk source"", ""Mitigation"": ""Reduce impact"", ""Transfer"": ""Shift to third party""}"
Match data roles.,,,,,,drag_and_drop,"{""Owner"": ""Responsible for data"", ""Custodian"": ""Maintains data"", ""User"": ""Accesses data""}"
Match wireless attacks to method.,,,,,,drag_and_drop,"{""Bluejacking"": ""Send unsolicited messages"", ""Bluesnarfing"": ""Steal data via Bluetooth"", ""Evil twin"": ""Fake AP""}"
Match account security practices.,,,,,,drag_and_drop,"{""Account lockout"": ""Block after failures"", ""Password policy"": ""Enforce strength"", ""Timeouts"": ""Auto logout""}"
Match data classifications.,,,,,,drag_and_drop,"{""Confidential"": ""Limited access"", ""Public"": ""Open access"", ""Private"": ""Internal use""}"
Match malware behavior.,,,,,,drag_and_drop,"{""Polymorphic"": ""Changes form"", ""Armored"": ""Hard to analyze"", ""Logic bomb"": ""Triggered attack""}"
Match disaster recovery terms.,,,,,,drag_and_drop,"{""RTO"": ""Time to resume operations"", ""RPO"": ""Acceptable data loss"", ""BCP"": ""Business continuity plan""}"
Match device hardening steps.,,,,,,drag_and_drop,"{""Disable services"": ""Minimize exposure"", ""Patch OS"": ""Fix vulnerabilities"", ""Change default creds"": ""Prevent misuse""}"
Match multifactor types.,,,,,,drag_and_drop,"{""Something you do"": ""Typing pattern"", ""Somewhere you are"": ""Geolocation"", ""Something you know"": ""Password""}"
Match secure coding practices.,,,,,,drag_and_drop,"{""Input validation"": ""Prevent injection"", ""Code signing"": ""Prove source"", ""Error handling"": ""Avoid info leakage""}"
Match attack surfaces.,,,,,,drag_and_drop,"{""Web apps"": ""Form inputs"", ""Email"": ""Attachments/links"", ""USB drives"": ""Physical transfer""}"
Match security testing types.,,,,,,drag_and_drop,"{""Vulnerability scan"": ""Identify weak points"", ""Penetration test"": ""Exploit flaws"", ""Tabletop exercise"": ""Simulate incident""}"
Match social engineering clues.,,,,,,drag_and_drop,"{""Urgency"": ""Act fast"", ""Authority"": ""Claims power"", ""Scarcity"": ""Limited time offer""}"
Match security protocols.,,,,,,drag_and_drop,"{""IPSec"": ""VPN encryption"", ""SSL/TLS"": ""Web security"", ""S/MIME"": ""Email protection""}"
Match endpoint protection types.,,,,,,drag_and_drop,"{""HIPS"": ""Stop threats in real-time"", ""Antivirus"": ""Signature detection"", ""EPP"": ""Comprehensive defense""}"
Match default port numbers.,,,,,,drag_and_drop,"{""443"": ""HTTPS"", ""22"": ""SSH"", ""389"": ""LDAP""}"
Match sandboxing benefits.,,,,,,drag_and_drop,"{""Isolate apps"": ""Limit risk"", ""Test malware"": ""Observe behavior"", ""Run untrusted code"": ""Prevent spread""}"
Match types of certificates.,,,,,,drag_and_drop,"{""Wildcard"": ""Covers subdomains"", ""Root"": ""Trusted authority"", ""SAN"": ""Multiple domains""}"
Match security assessments.,,,,,,drag_and_drop,"{""Audit"": ""Formal review"", ""Log review"": ""Event monitoring"", ""Risk assessment"": ""Identify threats""}"
Match security concepts.,,,,,,drag_and_drop,"{""Availability"": ""Access when needed"", ""Confidentiality"": ""Privacy protection"", ""Integrity"": ""Prevent tampering""}"
Match user types.,,,,,,drag_and_drop,"{""Guest"": ""Temporary access"", ""Standard"": ""Limited permissions"", ""Administrator"": ""Full access""}"
Match key stretching algorithms.,,,,,,drag_and_drop,"{""PBKDF2"": ""Password hashing"", ""bcrypt"": ""Adaptive hashing"", ""scrypt"": ""Resists brute force""}"
Match input validation types.,,,,,,drag_and_drop,"{""Client-side"": ""Faster, less secure"", ""Server-side"": ""More secure"", ""Both"": ""Best practice""}"
Match mitigation controls.,,,,,,drag_and_drop,"{""DLP"": ""Prevent data loss"", ""ACL"": ""Restrict access"", ""IDS"": ""Detect intrusions""}"
Match user authentication types.,,,,,,drag_and_drop,"{""Username/password"": ""Single factor"", ""Smart card + PIN"": ""Multifactor"", ""Biometric only"": ""Single factor""}"
Match types of social engineering.,,,,,,drag_and_drop,"{""Pretexting"": ""Invented scenario"", ""Impersonation"": ""Pretending to be someone"", ""Quid pro quo"": ""Exchange for info""}"
