text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
MAC filtering is a strong security mechanism.,True,False,,,B,true_false,
A T1 line provides 1.544 Mbps.,True,False,,,A,true_false,
Wi-Fi signals cannot be intercepted.,True,False,,,B,true_false,
A subnet can help reduce network congestion.,True,False,,,A,true_false,
Switches can isolate broadcast domains.,True,False,,,B,true_false,
802.11n supports MIMO.,True,False,,,A,true_false,
SSH encrypts terminal sessions.,True,False,,,A,true_false,
Tracert is used to test DNS resolution.,True,False,,,B,true_false,
A VPN encrypts all network traffic.,True,False,,,A,true_false,
Port 110 is used by the POP3 protocol.,True,False,,,A,true_false,
A demilitarized zone (DMZ) exposes services to the public.,True,False,,,A,true_false
TCP uses a three-way handshake to establish connections.,True,False,,,A,true_false,
DHCP uses port 67 and 68.,True,False,,,A,true_false,
A VLAN can span multiple switches.,True,False,,,A,true_false,
Rogue access points can be a security threat.,True,False,,,A,true_false,
The OSI model's Data Link layer handles IP addressing.,True,False,,,B,true_false,
An IDS actively blocks malicious traffic.,True,False,,,B,true_false,
802.11ac operates only on the 5 GHz band.,True,False,,,A,true_false,
Port 22 is used by SSH.,True,False,,,A,true_false,
The ping command can help verify DNS configuration.,True,False,,,B,true_false,
CIDR allows more efficient use of IP addresses.,True,False,,,A,true_false,
Firewalls can operate at multiple layers of the OSI model.,True,False,,,A,true_false,
A WAP always includes routing capabilities.,True,False,,,B,true_false,
Loopback addresses cannot communicate with external devices.,True,False,,,A,true_false,
SNMP can be used to reboot a device.,True,False,,,A,true_false,
UDP provides faster communication than TCP.,True,False,,,A,true_false,
A MAC address is burned into the NIC.,True,False,,,A,true_false,
A switch increases the number of collision domains.,True,False,,,A,true_false,
Wireless channels can overlap and cause interference.,True,False,,,A,true_false,
IPv6 has a larger address space than IPv4.,True,False,,,A,true_false,
A firewall can perform NAT.,True,False,,,A,true_false,
A bridge connects two networks and operates at Layer 2.,True,False,,,A,true_false,
802.11 standards define wired Ethernet.,True,False,,,B,true_false,
A DMZ is used to isolate public-facing servers.,True,False,,,A,true_false,
The default gateway is required for communication outside the LAN.,True,False,,,A,true_false,
A protocol analyzer can inspect the contents of packets.,True,False,,,A,true_false
ICMP can be used for network diagnostics.,True,False,,,A,true_false,
Private IP addresses can be routed over the public internet.,True,False,,,B,true_false,
A MAC address is 48 bits long.,True,False,,,A,true_false,
Switches reduce broadcast traffic.,True,False,,,B,true_false,
Trunk ports carry traffic for multiple VLANs.,True,False,,,A,true_false,
The OSI model’s Application layer is responsible for encryption.,True,False,,,B,true_false,
Wireless networks are more secure than wired by default.,True,False,,,B,true_false,
Port 25 is used to send email.,True,False,,,A,true_false,
TCP ensures ordered data delivery.,True,False,,,A,true_false,
A collision domain is reduced by adding switches.,True,False,,,A,true_false,
The loopback address is 0.0.0.0.,True,False,,,B,true_false,
IPv6 eliminates the need for NAT.,True,False,,,A,true_false,
NAT hides internal IP addresses from the public internet.,True,False,,,A,true_false,
Telnet encrypts all data.,True,False,,,B,true_false,
RADIUS is used for centralized authentication.,True,False,,,A,true_false,
An access control list (ACL) can block specific IP addresses.,True,False,,,A,true_false,
ARP is used to map MAC addresses to IP addresses.,True,False,,,B,true_false,
Fiber cables are immune to EMI.,True,False,,,A,true_false,
A subnet mask of 255.255.255.0 supports 254 hosts.,True,False,,,A,true_false,
IPSec can encrypt both IPv4 and IPv6 traffic.,True,False,,,A,true_false,
Wi-Fi Protected Access 2 (WPA2) is more secure than WEP.,True,False,,,A,true_false,
Port 161 is used for SNMP.,True,False,,,A,true_false,
A rogue DHCP server can cause network issues.,True,False,,,A,true_false,
SCP is used for secure file transfer.,True,False,,,A,true_false,
Layer 7 of the OSI model is the Application layer.,True,False,,,A,true_false
Match the ports to their services.,,,,,,drag_and_drop,"{""20/21"": ""FTP"", ""22"": ""SSH"", ""443"": ""HTTPS""}"
Match OSI layers to functions.,,,,,,drag_and_drop,"{""Layer 1"": ""Physical"", ""Layer 3"": ""Routing"", ""Layer 7"": ""Application""}"
Match protocols to their port numbers.,,,,,,drag_and_drop,"{""SMTP"": ""25"", ""IMAP"": ""143"", ""POP3"": ""110""}"
Match cable types to characteristics.,,,,,,drag_and_drop,"{""UTP"": ""Unshielded twisted pair"", ""Fiber"": ""Light-based"", ""Coaxial"": ""Copper core""}"
Match wireless standards to frequencies.,,,,,,drag_and_drop,"{""802.11n"": ""2.4/5 GHz"", ""802.11ac"": ""5 GHz only"", ""802.11b"": ""2.4 GHz""}"
Match IP ranges to types.,,,,,,drag_and_drop,"{""10.0.0.0/8"": ""Private"", ""169.254.x.x"": ""APIPA"", ""8.8.8.8"": ""Public""}"
Match tools to uses.,,,,,,drag_and_drop,"{""Crimper"": ""Attach connectors"", ""Tone generator"": ""Trace cables"", ""Loopback plug"": ""Test NIC""}"
Match devices to OSI layers.,,,,,,drag_and_drop,"{""Switch"": ""Layer 2"", ""Router"": ""Layer 3"", ""Firewall"": ""Layer 4+"",""}"
Match DNS record types.,,,,,,drag_and_drop,"{""A"": ""IPv4 address"", ""MX"": ""Mail exchange"", ""CNAME"": ""Alias""}"
Match authentication types.,,,,,,drag_and_drop,"{""RADIUS"": ""Central auth"", ""TACACS+"": ""Cisco auth"", ""LDAP"": ""Directory service""}"
Match media types to connectors.,,,,,,drag_and_drop,"{""Fiber"": ""LC"", ""Coaxial"": ""F-type"", ""Twisted pair"": ""RJ-45""}"
Match command-line tools to function.,,,,,,drag_and_drop,"{""ping"": ""Check connectivity"", ""ipconfig"": ""IP info"", ""tracert"": ""Path trace""}"
Match security protocols to use.,,,,,,drag_and_drop,"{""WEP"": ""Legacy encryption"", ""WPA2"": ""Current standard"", ""802.1X"": ""Port-based auth""}"
Match IPv6 address types.,,,,,,drag_and_drop,"{""FE80::"": ""Link-local"", ""::1"": ""Loopback"", ""2001::"": ""Global unicast""}"
Match devices to their purpose.,,,,,,drag_and_drop,"{""Firewall"": ""Filter traffic"", ""Router"": ""Forward packets"", ""Switch"": ""Segment LAN""}"
Match protocols to functions.,,,,,,drag_and_drop,"{""SNMP"": ""Monitor devices"", ""NTP"": ""Sync clocks"", ""SCP"": ""Secure file transfer""}"
Match wireless encryption standards.,,,,,,drag_and_drop,"{""WEP"": ""Weak"", ""WPA"": ""Improved"", ""WPA2"": ""Strong""}"
Match Ethernet standards to speeds.,,,,,,drag_and_drop,"{""100BASE-T"": ""100 Mbps"", ""1000BASE-T"": ""1 Gbps"", ""10GBASE-T"": ""10 Gbps""}"
Match types of attacks.,,,,,,drag_and_drop,"{""Phishing"": ""Deceptive emails"", ""DoS"": ""Overwhelm resource"", ""MITM"": ""Intercept traffic""}"
Match address types.,,,,,,drag_and_drop,"{""Public IP"": ""Globally routable"", ""Private IP"": ""Internal use only"", ""Loopback"": ""Self-test""}"
Match WAN technologies.,,,,,,drag_and_drop,"{""DSL"": ""Over phone lines"", ""Fiber"": ""High-speed optical"", ""Cable"": ""TV coax""}"
Match wireless bands to use cases.,,,,,,drag_and_drop,"{""2.4 GHz"": ""Longer range, more interference"", ""5 GHz"": ""Shorter range, faster"", ""6 GHz"": ""Wi-Fi 6E""}"
Match transmission types.,,,,,,drag_and_drop,"{""Unicast"": ""One-to-one"", ""Multicast"": ""One-to-many"", ""Broadcast"": ""To all""}"
Match security zones.,,,,,,drag_and_drop,"{""LAN"": ""Trusted internal"", ""DMZ"": ""Public-facing"", ""WAN"": ""Untrusted""}"
Match protocols to layers.,,,,,,drag_and_drop,"{""TCP"": ""Transport"", ""IP"": ""Network"", ""Ethernet"": ""Data Link""}"
Match address versions to length.,,,,,,drag_and_drop,"{""IPv4"": ""32-bit"", ""IPv6"": ""128-bit"", ""MAC"": ""48-bit""}"
Match service types.,,,,,,drag_and_drop,"{""DHCP"": ""Dynamic addressing"", ""DNS"": ""Name resolution"", ""FTP"": ""File transfer""}"
Match fiber types.,,,,,,drag_and_drop,"{""Single-mode"": ""Long distance"", ""Multimode"": ""Shorter distance"", ""Plastic optical"": ""Low-cost""}"
Match switch features.,,,,,,drag_and_drop,"{""PoE"": ""Power over Ethernet"", ""VLAN"": ""Segmentation"", ""Trunking"": ""Multiple VLANs""}"
Match cabling standards to usage.,,,,,,drag_and_drop,"{""Cat5e"": ""Gigabit Ethernet"", ""Cat6a"": ""10 Gbps up to 100m"", ""Cat3"": ""Voice only""}"
Match connection types.,,,,,,drag_and_drop,"{""Wired"": ""Ethernet"", ""Wireless"": ""Wi-Fi"", ""Cellular"": ""LTE/5G""}"
Match firewall functions.,,,,,,drag_and_drop,"{""Packet filtering"": ""Allow/deny by header"", ""Stateful inspection"": ""Track connections"", ""Application proxy"": ""Inspect content""}"
Match VPN protocols.,,,,,,drag_and_drop,"{""IPSec"": ""Secure IP layer"", ""PPTP"": ""Legacy tunneling"", ""L2TP"": ""Tunnel-only""}"
Match signal types.,,,,,,drag_and_drop,"{""Analog"": ""Continuous wave"", ""Digital"": ""Discrete values"", ""Modulated"": ""Altered for transmission""}"
Match connector types to descriptions.,,,,,,drag_and_drop,"{""LC"": ""Fiber duplex"", ""RJ-11"": ""Phone line"", ""DB-9"": ""Serial console""}"
Match device types.,,,,,,drag_and_drop,"{""Router"": ""Directs traffic"", ""Bridge"": ""Joins networks"", ""Hub"": ""Broadcasts to all ports""}"
Match routing protocols.,,,,,,drag_and_drop,"{""OSPF"": ""Link-state"", ""RIP"": ""Distance vector"", ""BGP"": ""Path-vector""}"
Match wireless threats.,,,,,,drag_and_drop,"{""Rogue AP"": ""Unauthorized access point"", ""Evil twin"": ""Fake Wi-Fi source"", ""War driving"": ""Wi-Fi scanning""}"
Match DHCP components.,,,,,,drag_and_drop,"{""Lease"": ""Temporary IP"", ""Scope"": ""Range of addresses"", ""Reservation"": ""Static mapping""}"
Match layers to tasks.,,,,,,drag_and_drop,"{""Transport"": ""Reliable delivery"", ""Data Link"": ""Framing"", ""Network"": ""Routing""}"
Match tools to purpose.,,,,,,drag_and_drop,"{""Multimeter"": ""Test voltage"", ""Tone generator"": ""Trace wiring"", ""Punchdown tool"": ""Wire to block""}"
Match access methods.,,,,,,drag_and_drop,"{""CSMA/CD"": ""Wired Ethernet"", ""CSMA/CA"": ""Wireless"", ""Token passing"": ""Token Ring""}"
Match subnet masks to CIDR.,,,,,,drag_and_drop,"{""/24"": ""255.255.255.0"", ""/16"": ""255.255.0.0"", ""/8"": ""255.0.0.0""}"
Match NAT types.,,,,,,drag_and_drop,"{""Static NAT"": ""One-to-one mapping"", ""Dynamic NAT"": ""Pool of public IPs"", ""PAT"": ""Port-based""}"
Match monitoring tools.,,,,,,drag_and_drop,"{""SNMP"": ""Status checks"", ""Syslog"": ""Event logging"", ""NetFlow"": ""Traffic analysis""}"
Match fiber connectors.,,,,,,drag_and_drop,"{""SC"": ""Push-pull square"", ""ST"": ""Twist-on bayonet"", ""LC"": ""Small form factor""}"
Match common ports.,,,,,,drag_and_drop,"{""80"": ""HTTP"", ""110"": ""POP3"", ""443"": ""HTTPS""}"
Match IPv4 classes.,,,,,,drag_and_drop,"{""Class A"": ""1.0.0.0 – 126.255.255.255"", ""Class B"": ""128.0.0.0 – 191.255.255.255"", ""Class C"": ""192.0.0.0 – 223.255.255.255""}"
Match wireless modes.,,,,,,drag_and_drop,"{""Infrastructure"": ""Uses APs"", ""Ad hoc"": ""Peer-to-peer"", ""Mesh"": ""Multi-hop""}"
Match cabling faults.,,,,,,drag_and_drop,"{""Split pair"": ""Miswired pairs"", ""Open"": ""Disconnected wire"", ""Short"": ""Wires touching""}"
Match VPN types.,,,,,,drag_and_drop,"{""Site-to-site"": ""Connects offices"", ""Remote access"": ""Individual users"", ""Client-based"": ""User software""}"
Match types of IP addresses.,,,,,,drag_and_drop,"{""Static"": ""Manually assigned"", ""Dynamic"": ""DHCP assigned"", ""Reserved"": ""Fixed by DHCP""}"
Match OSI model layers to devices.,,,,,,drag_and_drop,"{""Layer 1"": ""Hub"", ""Layer 2"": ""Switch"", ""Layer 3"": ""Router""}"
Match cloud services.,,,,,,drag_and_drop,"{""IaaS"": ""Virtual machines"", ""PaaS"": ""Dev environment"", ""SaaS"": ""Hosted apps""}"
Match network devices to function.,,,,,,drag_and_drop,"{""Switch"": ""Forward by MAC"", ""Router"": ""Route by IP"", ""Firewall"": ""Filter traffic""}"
Match Wi-Fi types to range.,,,,,,drag_and_drop,"{""2.4 GHz"": ""Greater range"", ""5 GHz"": ""Faster speed"", ""6 GHz"": ""Newest band""}"
Match port numbers to names.,,,,,,drag_and_drop,"{""23"": ""Telnet"", ""161"": ""SNMP"", ""53"": ""DNS""}"
Match topology to characteristic.,,,,,,drag_and_drop,"{""Star"": ""Central switch"", ""Mesh"": ""Redundant paths"", ""Bus"": ""Single cable""}"
Match addressing methods.,,,,,,drag_and_drop,"{""Unicast"": ""One to one"", ""Broadcast"": ""One to all"", ""Multicast"": ""One to many""}"
Match network types.,,,,,,drag_and_drop,"{""PAN"": ""Personal area"", ""LAN"": ""Local area"", ""WAN"": ""Wide area""}"
Match wireless technologies.,,,,,,drag_and_drop,"{""Bluetooth"": ""Short range"", ""Wi-Fi"": ""Wireless LAN"", ""Zigbee"": ""IoT automation""}"
Match switch components.,,,,,,drag_and_drop,"{""MAC table"": ""Forwarding decisions"", ""VLAN config"": ""Segmentation"", ""Trunk port"": ""Multi-VLAN link""}"
Match IPv6 prefixes.,,,,,,drag_and_drop,"{""::1"": ""Loopback"", ""fe80::"": ""Link-local"", ""ff00::"": ""Multicast""}"
Match patching tools.,,,,,,drag_and_drop,"{""Patch panel"": ""Cable management"", ""Punchdown tool"": ""Wire insertion"", ""RJ-45"": ""Network plug""}"
Match VPN technologies.,,,,,,drag_and_drop,"{""SSL"": ""TLS-based VPN"", ""IPSec"": ""Encrypted tunnel"", ""GRE"": ""Encapsulation""}"
Match authentication protocols.,,,,,,drag_and_drop,"{""RADIUS"": ""AAA protocol"", ""Kerberos"": ""Ticket-based"", ""EAP"": ""Extensible""}"
Match command-line tools.,,,,,,drag_and_drop,"{""netstat"": ""View connections"", ""nslookup"": ""DNS query"", ""arp"": ""MAC cache""}"
Match Wi-Fi security settings.,,,,,,drag_and_drop,"{""WPA2"": ""Strong"", ""WEP"": ""Weak"", ""Open"": ""Unsecured""}"
Match cable testing results.,,,,,,drag_and_drop,"{""Near end crosstalk"": ""Signal bleed"", ""Open pair"": ""No continuity"", ""Miswire"": ""Wrong sequence""}"
Match DNS roles.,,,,,,drag_and_drop,"{""Resolver"": ""Queries on behalf of host"", ""Authoritative server"": ""Has zone records"", ""Root server"": ""Top of hierarchy""}"
Match firewall rule types.,,,,,,drag_and_drop,"{""Allow"": ""Permit traffic"", ""Deny"": ""Block traffic"", ""Implicit deny"": ""Default block""}"
Match addressing formats.,,,,,,drag_and_drop,"{""192.168.1.1"": ""IPv4"", ""FE80::1"": ""IPv6"", ""00:1A:2B:3C:4D:5E"": ""MAC""}"
Match Wi-Fi channels.,,,,,,drag_and_drop,"{""1, 6, 11"": ""Non-overlapping"", ""3, 5, 9"": ""Overlapping"", ""14"": ""Japan only""}"
Match cable types to standards.,,,,,,drag_and_drop,"{""Cat5e"": ""1 Gbps max"", ""Cat6"": ""10 Gbps short"", ""Cat3"": ""Legacy phones""}"
Match switch modes.,,,,,,drag_and_drop,"{""Cut-through"": ""Fast, low latency"", ""Store-and-forward"": ""Error check first"", ""Fragment-free"": ""Balance of both""}"
Match link states.,,,,,,drag_and_drop,"{""Up"": ""Operational"", ""Down"": ""Disconnected"", ""Admin down"": ""Manually disabled""}"
Match encryption types.,,,,,,drag_and_drop,"{""AES"": ""Symmetric block"", ""RSA"": ""Asymmetric key"", ""TLS"": ""Transport security""}"
Match troubleshooting steps.,,,,,,drag_and_drop,"{""Identify problem"": ""Step 1"", ""Establish theory"": ""Step 2"", ""Implement solution"": ""Step 5""}"
Match IPv6 transition methods.,,,,,,drag_and_drop,"{""Dual stack"": ""Run both IPv4/IPv6"", ""Tunneling"": ""Encapsulate IPv6"", ""Translation"": ""Convert IPv6 to IPv4""}"
Match cloud models.,,,,,,drag_and_drop,"{""Public"": ""Shared resources"", ""Private"": ""Dedicated resources"", ""Hybrid"": ""Mixed environment""}"
